Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2015,4,San Juan,51408,6210,57618
2015,4,San Luis,12901,3170,16071
2015,4,Santa Cruz,26047,3560,29607
2015,4,Santa Fe,561045,6270,567315
2015,4,Santiago Del Estero,39132,30,39162
2015,4,Tierra Del Fuego,29334,6190,35524
2015,4,Tucumán,146053,420,146473
2015,3,Buenos Aires,2916070,12695,2928765
2015,3,Capital Federal,1362193,9875,1372068
2015,3,Catamarca,26080,130,26210
2015,3,Chaco,85354,160,85514
2015,3,Chubut,62143,174,62317
2015,3,Córdoba,622761,2370,625131
2015,3,Corrientes,84931,280,85211
2015,3,Entre Ríos,172252,1820,174072
2015,3,Formosa,27751,10,27761
2015,3,Jujuy,39548,20,39568
2015,3,La Pampa,64976,4950,69926
2015,3,La Rioja,16753,180,16933
2015,3,Mendoza,169261,1562,170823
2015,3,Misiones,91615,70,91685
2015,3,Neuquén,98376,224,98600
2015,3,Río Negro,98529,1085,99614
2015,3,Salta,100570,30,100600
